clus0,clus1,clus2,clus3,clus4,clus5,clus6,clus7
7.78E-05,0.000155289,0.000119969,0.000118587,8.72E-05,0.000166091,0.000136447,0.000140697
8.93E-05,0.000164155,0.000119969,0.000118587,8.84E-05,0.000164436,0.000136447,0.000140697
9.08E-05,0.000157034,0.000115074,0.000106866,9.00E-05,0.000156265,0.000128961,0.000126915
6.73E-05,0.000101084,0.000135368,0.000113805,8.81E-05,0.000123592,0.00012908,0.00013148
7.56E-05,9.40E-05,0.00014031,0.000132722,9.06E-05,0.000117727,0.00013269,0.000128094
7.56E-05,9.40E-05,0.00011357,0.000142369,9.06E-05,0.000117727,0.000134287,0.00013412
7.56E-05,9.40E-05,0.000119969,0.000115215,9.06E-05,0.000117727,0.000136447,0.000130827
7.78E-05,9.72E-05,0.000119969,0.000106866,8.72E-05,0.00011734,0.000136447,0.000126915
8.93E-05,0.000123783,0.000119969,0.000106866,8.84E-05,0.000126051,0.000136447,0.000126915
9.08E-05,0.000123959,0.000115074,0.000106866,9.00E-05,0.000126217,0.000128961,0.000126915
6.73E-05,0.000101084,0.00014766,0.000106239,8.81E-05,0.000123592,0.000141393,0.000118867
7.56E-05,9.40E-05,0.00014031,0.000132722,9.06E-05,0.000117727,0.00013269,0.000128094
7.56E-05,9.40E-05,0.00011357,0.000142369,9.06E-05,0.000117727,0.000134287,0.000134403
7.56E-05,9.40E-05,0.000119969,0.000115215,9.06E-05,0.000117727,0.000136447,0.000130827
7.78E-05,9.72E-05,0.000119969,0.000106866,8.72E-05,0.00011734,0.000136447,0.000126915
8.93E-05,0.000123783,0.000119969,0.000106866,8.84E-05,0.000126051,0.000136447,0.000126915
9.08E-05,0.000123959,0.000115074,0.000106866,9.00E-05,0.000126217,0.000128961,0.000126915
6.73E-05,0.000101084,0.000135368,0.000106239,8.81E-05,0.000123592,0.00012908,0.000118867
7.56E-05,9.40E-05,0.00014031,0.000132722,9.06E-05,0.000117727,0.00013269,0.000128094
7.56E-05,9.40E-05,0.00011357,0.000142369,9.06E-05,0.000117727,0.000134287,0.000134403
9.13E-05,9.40E-05,0.000119969,0.000115215,9.91E-05,0.000117727,0.000136447,0.000130827
7.67E-05,9.72E-05,0.000119969,0.000106866,8.41E-05,0.00011734,0.000136447,0.000126915
8.93E-05,0.000123783,0.000119969,0.000106866,8.84E-05,0.000126051,0.000136447,0.000126915
9.08E-05,0.000123959,0.000115074,0.000106866,9.00E-05,0.000126217,0.000128961,0.000126915
9.08E-05,0.000101084,0.000135368,0.000106239,9.00E-05,0.000123592,0.00012908,0.000118867
9.13E-05,9.40E-05,0.00014031,0.000132722,9.91E-05,0.000117727,0.00013269,0.000128094
9.13E-05,9.40E-05,0.00011357,0.000105007,9.91E-05,0.000117727,0.000134287,0.000106777
9.13E-05,9.40E-05,0.000119969,8.98E-05,9.91E-05,0.000117727,0.000136447,0.000102464
